UID        PID  PPID  C STIME TTY          TIME CMD
xy0065   18028 17969  0 16:44 ?        00:00:00 sshd: xy0065@notty
xy0065   18029 18028  0 16:44 ?        00:00:00 /usr/lib/openssh/sftp-server
root     18084  1213  0 Jan27 ?        00:00:01 sshd: bj0141 [priv]
bj0141   18155 18084  0 Jan27 ?        00:00:01 sshd: bj0141@notty
bj0141   18156 18155  0 Jan27 ?        00:00:00 /usr/lib/openssh/sftp-server
wcq0001  18158 12334  1 16:45 pts/7    00:00:00 vim server.c
mb0909   18192 17841  0 16:45 pts/29   00:00:00 vim NEW_USER_READ_ME_FIRST
root     18207  1213  1 16:45 ?        00:00:00 sshd: unknown [priv]
sshd     18208 18207  0 16:45 ?        00:00:00 sshd: unknown [net]
yak0010  18215 16118  0 16:45 pts/3    00:00:00 ps -ef
root     19861     2  0 Jan28 ?        00:10:06 [kworker/1:0H]
root     22225  1213  0 12:52 ?        00:00:00 sshd: jmj0264 [priv]
jmj0264  22357 22225  0 12:52 ?        00:00:01 sshd: jmj0264@pts/35
jmj0264  22358 22357  0 12:52 pts/35   00:00:00 -bash
root     23294  1213  0 Jan31 ?        00:00:00 sshd: jhd0044 [priv]
jhd0044  23354 23294  0 Jan31 ?        00:00:00 sshd: jhd0044@notty
jhd0044  23355 23354  0 Jan31 ?        00:00:00 /usr/lib/openssh/sftp-server
root     24571  1213  0 13:01 ?        00:00:00 sshd: jkd0144 [priv]
jkd0144  24641 24571  0 13:01 ?        00:00:00 sshd: jkd0144@notty
jkd0144  24642 24641  0 13:01 ?        00:00:00 /usr/lib/openssh/sftp-server
root     24917     2  0 Jan28 ?        00:00:00 [kworker/0:0H]
root     25766     2  0 Jan28 ?        00:00:16 [kworker/0:1H]
root     25986     2  0 Jan28 ?        00:00:00 [kworker/2:2H]
root     26606     2  0 Jan30 ?        00:00:00 [xfsalloc]
root     26612     2  0 Jan30 ?        00:00:00 [xfs_mru_cache]
root     26618     2  0 Jan30 ?        00:00:00 [jfsIO]
root     26619     2  0 Jan30 ?        00:00:00 [jfsCommit]
root     26620     2  0 Jan30 ?        00:00:00 [jfsCommit]
root     26621     2  0 Jan30 ?        00:00:00 [jfsCommit]
root     26622     2  0 Jan30 ?        00:00:00 [jfsSync]
root     26816  1213  0 08:10 ?        00:00:00 sshd: mir0028 [priv]
mir0028  26875 26816  0 08:10 ?        00:00:00 sshd: mir0028@pts/6
mir0028  26876 26875  0 08:10 pts/6    00:00:00 -bash
root     27042     1  0 Jan28 ?        00:00:01 /usr/sbin/cron -f
root     27423  1213  0 Feb02 ?        00:00:00 sshd: jl0844 [priv]
root     27441  1213  0 Feb02 ?        00:00:00 sshd: jl0844 [priv]
jl0844   27486 27423  0 Feb02 ?        00:00:01 sshd: jl0844@pts/22
